event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,regime_triggers,beta_weights
EV-DHN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Dhanmondi,demand_response,1,nominal,0,128600.0,128600.0,151000.0,200000.0,0.0,0.9421245421245421,127165.85808100576,109,0.0,31411.647508569524,31411.647508569524,0.0,0.0,0.0,17025015.356616527,8.39,8.39,455,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,124404.93944970518,112,4803.942748677335,33264.894585436596,33264.894585436596,0.0,0.0,0.0,16595750.178543031,8.39,8.39,691,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Dhanmondi,demand_response,1,nominal,0,133000.0,133000.0,151000.0,200000.0,0.0,0.9743589743589743,129409.80242325204,109,0.0,32704.674263320776,32704.674263320776,0.0,0.0,0.0,17540809.877710763,8.39,8.39,455,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Kalyanpur,demand_response,1,nominal,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,126683.37727152884,112,4803.942748677335,34137.28528115472,34137.28528115472,0.0,0.0,0.0,16288142.128262868,8.39,8.39,692,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Dhanmondi,demand_response,1,nominal,0,106000.0,106000.0,151000.0,200000.0,0.0,0.7765567765567766,128776.04921224822,109,0.0,33090.0086742813,33090.0086742813,0.0,0.0,0.0,13767221.93667306,8.39,8.39,455,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Kalyanpur,demand_response,1,nominal,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,127645.38783699858,112,4803.942748677335,33673.08642486111,33673.08642486111,0.0,0.0,0.0,16641167.382789897,8.39,8.39,692,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-DHN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Dhanmondi,demand_response,1,nominal,0,133400.0,133400.0,151000.0,200000.0,0.0,0.9772893772893773,129793.26946614675,109,0.0,32603.42053234365,32603.42053234365,0.0,0.0,0.0,17702736.555877246,8.39,8.39,455,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-17-regime_stress,2026-06-17T00:00:00,2026-06-17,Kalyanpur,regime_stress,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,126720.47331280998,195,4803.942748677335,56534.56900515551,56534.56900515551,0.0,0.0,0.0,16929488.727670558,8.39,8.39,1159,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-KLN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Kalyanpur,demand_response,2,stressed,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,126720.47331280998,195,4803.942748677335,56534.56900515551,56534.56900515551,0.0,0.0,0.0,16929488.727670558,8.39,8.39,1159,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.3, 0.3, 0.2, 0.2]"
EV-DHN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Dhanmondi,demand_response,1,nominal,0,129000.0,129000.0,151000.0,200000.0,0.0,0.945054945054945,128715.06367572732,109,0.0,32670.966358874866,32670.966358874866,0.0,0.0,0.0,16908015.894968327,8.39,8.39,455,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
