date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,rho_used_tk_per_kwh,rho_current_policy,individual_rationality_on,curtail_scope_used,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-14,57881836.554172575,29335644.58416616,28546191.970006414,2042785.1183536644,12000.0,0.0,17156967.142987244,0.0,12178677.441178918,1987166.5898426685,9000.0,0.0,16685827.68877999,0.0,11860364.281226423,0.0,0.0,8000.0,6000.0,0.9839735821785526,0.933268070690634,0.9421245421245421,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,1.4551915228366852e-11,0,681
2026-06-15,58640508.78062604,30149607.737233996,28490901.043392047,2106644.201527683,0.0,0.0,17674744.850817263,0.0,12474862.886416731,1951977.0795790427,0.0,0.0,16377087.69766817,0.0,12113813.345723875,0.0,0.0,8000.0,6000.0,0.990058262751697,0.8980968995964964,0.9743589743589743,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,1.4551915228366852e-11,0,679
2026-06-16,54974190.0236499,26222655.197922707,28751534.825727195,1654083.522288185,0.0,0.0,13877760.751997873,0.0,12344894.445924833,1994207.9905313598,0.0,0.0,16731405.040558109,0.0,12020129.785169084,0.0,0.0,8000.0,6000.0,0.7829517956139519,0.9237101266056562,0.7765567765567766,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,1.4551915228366852e-11,0,680
2026-06-17,59642836.72692241,30369430.3534965,29273406.373425912,2125975.3740567295,0.0,0.0,17836933.38833596,0.0,12532496.965160538,2044558.4920394835,0.0,0.0,17153845.74821127,0.0,12119560.625214644,0.0,0.0,8000.0,6000.0,0.9950348768872176,0.9396239785823317,0.9772893772893773,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,2.9103830456733704e-11,0,665
2026-06-18,57390638.85991272,29413792.1714615,27976846.68845122,2030738.8898001765,0.0,0.0,17037899.285423484,0.0,12375892.886038015,1901051.6599963633,0.0,0.0,15949823.42736949,0.0,12027023.26108173,0.0,0.0,8000.0,6000.0,0.9610850860145514,0.8800652977744716,0.945054945054945,0.8695652173913043,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,1.4551915228366852e-11,0,678
2026-06-19,51006963.80045097,23903132.496790174,27103831.3036608,1433658.9595400752,0.0,0.0,12028398.67054123,0.0,11874733.826248944,1848067.539469671,0.0,0.0,15505286.65615054,0.0,11598544.647510258,0.0,0.0,8000.0,6000.0,0.6980437668395768,0.8765893435852959,0.6593406593406593,0.8478260869565217,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,0.0,0,681
2026-06-20,56855041.71870214,27508386.96103324,29346654.757668894,1753629.2046160162,0.0,0.0,14712949.026728377,0.0,12795437.934304865,2033717.1568685223,0.0,0.0,17062886.946126904,0.0,12283767.81154199,0.0,0.0,8000.0,6000.0,0.8096573106701263,0.9240403340180752,0.8205128205128205,0.9347826086956522,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,1.4551915228366852e-11,0,664
2026-06-21,59712185.84817217,30815281.363360465,28896904.48481171,2175438.882770668,0.0,0.0,18251932.226445902,0.0,12563349.136914562,1993878.9974154858,0.0,0.0,16728644.788315928,0.0,12168259.696495783,0.0,0.0,8000.0,6000.0,1.017464726330321,0.9138456698239537,1.0285714285714285,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,1.4551915228366852e-11,0,678
2026-06-22,57359446.56910888,29101289.899302647,28258156.669806235,2009239.392904629,0.0,0.0,16857518.50646984,0.0,12243771.392832808,1947918.7190759452,0.0,0.0,16343038.053047182,0.0,11915118.61675905,0.0,0.0,8000.0,6000.0,0.957906092564557,0.9074357342586847,0.9282051282051282,0.8913043478260869,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,1.4551915228366852e-11,0,680
2026-06-23,56826263.71687634,27128652.64109046,29697611.075785883,1730471.5702543105,0.0,0.0,14518656.474433666,0.0,12609996.166656796,2089386.3920834647,0.0,0.0,17529951.82958027,0.0,12167659.246205611,0.0,0.0,8000.0,6000.0,0.8067327871742036,0.9571121161420331,0.8095238095238095,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,3.0,False,True,dr_window,1.4551915228366852e-11,0,664
