event_id,timestamp,date,substation,trigger,regime,regime_name,stress_indicator,forecast_peak_kw,robust_peak_kw,p_str_kw,p_max_kw,deficit_kw,kappa,actual_peak_kw,n_affected_consumers,energy_shifted_kwh,energy_curtailed_kwh,energy_reduction_kwh,reserve_shortfall_kwh,unserved_kwh,transfer_out_kwh,cost_impact_tk,pi_min_tk_per_kwh,pi_max_tk_per_kwh,n_threshold_records,regime_triggers,beta_weights
EV-DHN-2026-06-14-regime_stress,2026-06-14T00:00:00,2026-06-14,Dhanmondi,regime_stress,3,emergency,0,128600.0,128600.0,151000.0,200000.0,0.0,0.9421245421245421,113071.70243687664,211,0.0,191518.18739132123,191518.18739132123,0.0,0.0,390.21386242504235,15710230.60181048,8.389999999999999,8.39,4552,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Dhanmondi,demand_response,3,emergency,0,128600.0,128600.0,151000.0,200000.0,0.0,0.9421245421245421,113071.70243687664,211,0.0,191518.18739132123,191518.18739132123,0.0,0.0,390.21386242504235,15710230.60181048,8.389999999999999,8.39,4552,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-14-regime_stress,2026-06-14T00:00:00,2026-06-14,Kalyanpur,regime_stress,3,emergency,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,103255.24058595668,293,28159.158214635663,190504.88342559745,190504.88342559745,0.0,0.0,0.0,15395566.89115616,8.39,18.25510204081633,4392,"{'capacity_deficit': True, 'inter_substation_transfer': True, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-14-demand_response,2026-06-14T00:00:00,2026-06-14,Kalyanpur,demand_response,3,emergency,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,103255.24058595668,293,28159.158214635663,190504.88342559745,190504.88342559745,0.0,0.0,0.0,15395566.89115616,8.39,18.25510204081633,4392,"{'capacity_deficit': True, 'inter_substation_transfer': True, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-15-regime_stress,2026-06-15T00:00:00,2026-06-15,Dhanmondi,regime_stress,3,emergency,0,133000.0,133000.0,151000.0,200000.0,0.0,0.9743589743589743,111104.57246654751,218,764.3004561040259,196010.18022432172,196010.18022432172,0.0,0.0,0.0,16184298.18691796,8.39,9.285729505344948,4527,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Dhanmondi,demand_response,3,emergency,0,133000.0,133000.0,151000.0,200000.0,0.0,0.9743589743589743,111104.57246654751,218,764.3004561040259,196010.18022432172,196010.18022432172,0.0,0.0,0.0,16184298.18691796,8.39,9.285729505344948,4527,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-15-regime_stress,2026-06-15T00:00:00,2026-06-15,Kalyanpur,regime_stress,3,emergency,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,106447.3110228439,259,22732.1788027501,187833.67005822482,187833.67005822482,0.0,0.0,0.0,15184267.433835922,8.389999999999999,13.284302121072503,4071,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-15-demand_response,2026-06-15T00:00:00,2026-06-15,Kalyanpur,demand_response,3,emergency,0,123000.0,123000.0,129000.0,160000.0,0.0,0.8913043478260869,106447.3110228439,259,22732.1788027501,187833.67005822482,187833.67005822482,0.0,0.0,0.0,15184267.433835922,8.389999999999999,13.284302121072503,4071,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Dhanmondi,demand_response,1,nominal,0,106000.0,106000.0,151000.0,200000.0,0.0,0.7765567765567766,134537.74559907502,186,0.0,175622.40162223543,175622.40162223543,0.0,0.0,1032.2628002960737,12849398.73696954,8.39,8.39,3985,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-16-regime_stress,2026-06-16T00:00:00,2026-06-16,Kalyanpur,regime_stress,3,emergency,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,104985.0995963038,292,27337.726762343093,196314.87376428765,196314.87376428765,0.0,0.0,0.0,15452214.46667478,8.389999999999997,18.25510204081633,4400,"{'capacity_deficit': True, 'inter_substation_transfer': True, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-16-demand_response,2026-06-16T00:00:00,2026-06-16,Kalyanpur,demand_response,3,emergency,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,104985.0995963038,292,27337.726762343093,196314.87376428765,196314.87376428765,0.0,0.0,0.0,15452214.46667478,8.389999999999997,18.25510204081633,4400,"{'capacity_deficit': True, 'inter_substation_transfer': True, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-17-regime_stress,2026-06-17T00:00:00,2026-06-17,Dhanmondi,regime_stress,3,emergency,0,133400.0,133400.0,151000.0,200000.0,0.0,0.9772893772893773,110548.88884308725,226,1592.7723891092603,197178.10319068923,197178.10319068923,0.0,0.0,2114.0616463368133,16366631.281800508,8.389999999999999,9.557891782316553,4490,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Dhanmondi,demand_response,3,emergency,0,133400.0,133400.0,151000.0,200000.0,0.0,0.9772893772893773,110548.88884308725,226,1592.7723891092603,197178.10319068923,197178.10319068923,0.0,0.0,2114.0616463368133,16366631.281800508,8.389999999999999,9.557891782316553,4490,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-17-regime_stress,2026-06-17T00:00:00,2026-06-17,Kalyanpur,regime_stress,3,emergency,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,104753.3298206373,305,28826.923134159413,219173.70270833094,219173.70270833094,0.0,0.0,0.0,15713800.989424804,8.389999999999999,19.446828349302606,5105,"{'capacity_deficit': True, 'inter_substation_transfer': True, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-17-demand_response,2026-06-17T00:00:00,2026-06-17,Kalyanpur,demand_response,3,emergency,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,104753.3298206373,305,28826.923134159413,219173.70270833094,219173.70270833094,0.0,0.0,0.0,15713800.989424804,8.389999999999999,19.446828349302606,5105,"{'capacity_deficit': True, 'inter_substation_transfer': True, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-18-regime_stress,2026-06-18T00:00:00,2026-06-18,Dhanmondi,regime_stress,3,emergency,0,129000.0,129000.0,151000.0,200000.0,0.0,0.945054945054945,114453.96625198968,206,0.0,191491.97724624703,191491.97724624703,0.0,0.0,0.0,15627362.058776714,8.389999999999997,8.390000000000002,4517,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Dhanmondi,demand_response,3,emergency,0,129000.0,129000.0,151000.0,200000.0,0.0,0.945054945054945,114453.96625198968,206,0.0,191491.97724624703,191491.97724624703,0.0,0.0,0.0,15627362.058776714,8.389999999999997,8.390000000000002,4517,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-18-regime_stress,2026-06-18T00:00:00,2026-06-18,Kalyanpur,regime_stress,3,emergency,0,120000.0,120000.0,129000.0,160000.0,0.0,0.8695652173913043,106941.72424753688,249,16938.461648345965,181901.35840912798,181901.35840912798,0.0,0.0,0.0,14801311.242383791,8.389999999999999,12.537396121883656,3903,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-18-demand_response,2026-06-18T00:00:00,2026-06-18,Kalyanpur,demand_response,3,emergency,0,120000.0,120000.0,129000.0,160000.0,0.0,0.8695652173913043,106941.72424753688,249,16938.461648345965,181901.35840912798,181901.35840912798,0.0,0.0,0.0,14801311.242383791,8.389999999999999,12.537396121883656,3903,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-19-demand_response,2026-06-19T00:00:00,2026-06-19,Dhanmondi,demand_response,1,nominal,0,90000.0,90000.0,151000.0,200000.0,0.0,0.6593406593406593,127876.8409741679,175,0.0,162726.81711560994,162726.81711560994,0.0,0.0,0.0,11160418.49918168,8.39,8.39,3769,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-19-regime_stress,2026-06-19T00:00:00,2026-06-19,Kalyanpur,regime_stress,3,emergency,0,117000.0,117000.0,129000.0,160000.0,0.0,0.8478260869565217,104312.01960999546,240,12737.265853967448,171245.07512278316,171245.07512278316,0.0,0.0,0.0,14412759.197386878,8.39,12.537396121883658,3731,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-19-demand_response,2026-06-19T00:00:00,2026-06-19,Kalyanpur,demand_response,3,emergency,0,117000.0,117000.0,129000.0,160000.0,0.0,0.8478260869565217,104312.01960999546,240,12737.265853967448,171245.07512278316,171245.07512278316,0.0,0.0,0.0,14412759.197386878,8.39,12.537396121883658,3731,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-20-demand_response,2026-06-20T00:00:00,2026-06-20,Dhanmondi,demand_response,1,nominal,0,112000.0,112000.0,151000.0,200000.0,0.0,0.8205128205128205,132773.4380439421,189,0.0,183472.2183635808,183472.2183635808,0.0,0.0,3182.677552642655,13646675.251587572,8.39,8.39,4160,"{'capacity_deficit': False, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.55, 0.25, 0.1, 0.1]"
EV-KLN-2026-06-20-regime_stress,2026-06-20T00:00:00,2026-06-20,Kalyanpur,regime_stress,3,emergency,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,107559.17184976324,300,30204.325802208205,225756.91367184173,225756.91367184173,0.0,0.0,0.0,15602299.24576149,8.39,18.25510204081633,5096,"{'capacity_deficit': True, 'inter_substation_transfer': True, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-20-demand_response,2026-06-20T00:00:00,2026-06-20,Kalyanpur,demand_response,3,emergency,1,129000.0,129000.0,129000.0,160000.0,0.0,0.9347826086956522,107559.17184976324,300,30204.325802208205,225756.91367184173,225756.91367184173,0.0,0.0,0.0,15602299.24576149,8.39,18.25510204081633,5096,"{'capacity_deficit': True, 'inter_substation_transfer': True, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-21-regime_stress,2026-06-21T00:00:00,2026-06-21,Dhanmondi,regime_stress,3,emergency,0,140400.0,140400.0,151000.0,200000.0,0.0,1.0285714285714285,108838.51230920744,270,4523.596166823687,199511.3975642361,199511.3975642361,0.0,0.0,1222.0120519122943,16726626.5598882,8.389999999999999,12.537396121883658,4681,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-DHN-2026-06-21-demand_response,2026-06-21T00:00:00,2026-06-21,Dhanmondi,demand_response,3,emergency,0,140400.0,140400.0,151000.0,200000.0,0.0,1.0285714285714285,108838.51230920744,270,4523.596166823687,199511.3975642361,199511.3975642361,0.0,0.0,1222.0120519122943,16726626.5598882,8.389999999999999,12.537396121883658,4681,"{'capacity_deficit': True, 'inter_substation_transfer': False, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
EV-KLN-2026-06-21-regime_stress,2026-06-21T00:00:00,2026-06-21,Kalyanpur,regime_stress,3,emergency,0,126000.0,126000.0,129000.0,160000.0,0.0,0.9130434782608695,106302.0361232778,298,27437.401238154835,200926.6392527694,200926.6392527694,0.0,0.0,0.0,15433772.551916216,8.389999999999999,20.56670243099475,4429,"{'capacity_deficit': True, 'inter_substation_transfer': True, 'reserve_shortfall': False}","[0.15, 0.25, 0.25, 0.35]"
