date,frac_changed,alpha_P_max,trigger_alpha_w,trigger_frac_changed,active_rule,rules_agree
2026-06-14,1.0,,True,True,alpha_w,True
2026-06-15,0.0016,0.0,False,False,alpha_w,True
2026-06-16,0.00112,0.0,False,False,alpha_w,True
2026-06-17,0.5408,0.6232,True,True,alpha_w,True
2026-06-18,0.5424,0.6232,True,True,alpha_w,True
2026-06-19,0.0048,0.0,False,False,alpha_w,True
2026-06-20,0.54224,0.6232,True,True,alpha_w,True
2026-06-21,0.54304,0.6232,True,True,alpha_w,True
2026-06-22,0.00352,0.0,False,False,alpha_w,True
2026-06-23,0.54304,0.6232,True,True,alpha_w,True
2026-06-24,0.00064,0.000160000000000049,False,False,alpha_w,True
2026-06-25,0.54304,0.6232,True,True,alpha_w,True
2026-06-26,0.54304,0.6232,True,True,alpha_w,True
2026-06-27,0.0016,0.0032000000000000917,False,False,alpha_w,True
2026-06-28,0.00064,0.0016000000000000458,False,False,alpha_w,True
2026-06-29,0.0,0.0,False,False,alpha_w,True
2026-06-30,0.00192,0.0017599999999999838,False,False,alpha_w,True
2026-07-01,0.50784,0.56416,True,True,alpha_w,True
2026-07-02,0.0,0.0,False,False,alpha_w,True
2026-07-03,0.50784,0.56416,True,True,alpha_w,True
2026-07-04,0.0,0.0,False,False,alpha_w,True
2026-07-05,0.5072,0.5640000000000001,True,True,alpha_w,True
2026-07-06,0.0,0.0,False,False,alpha_w,True
2026-07-07,0.00064,0.0006400000000000849,False,False,alpha_w,True
2026-07-08,0.51024,0.4264,True,True,alpha_w,True
2026-07-09,0.0,0.0,False,False,alpha_w,True
2026-07-10,0.57056,0.48560000000000003,True,True,alpha_w,True
2026-07-11,0.57056,0.48560000000000003,True,True,alpha_w,True
2026-07-12,0.0,0.0,False,False,alpha_w,True
2026-07-13,0.0,0.0,False,False,alpha_w,True
