substation,model,horizon,n,r2,rmse,mae,mape_pct
Uttara,CNN+BiGRU+BiLSTM,8,37,0.6436661759977035,9.12134158415951,7.115907858626261,9.767126631321714
Uttara,CNN+BiGRU+BiLSTM,9,38,0.5039847291591677,9.619583623395682,7.399818400356331,9.813448604330738
Uttara,CNN+BiGRU+BiLSTM,10,38,0.5183236251078596,9.065531603559863,6.857503562036315,10.014254966540658
Uttara,CNN+BiGRU+BiLSTM,11,37,0.5241910479127682,10.066052381457064,7.951593258171468,10.681870355619584
Uttara,CNN+BiGRU+BiLSTM,12,38,0.6112951166912426,10.139673565139113,7.9043595520799075,10.932700033690054
Uttara,CNN+BiGRU+BiLSTM,13,37,0.5578938327467846,10.585711215573236,8.53543859180969,11.90946667793081
Uttara,CNN+BiGRU+BiLSTM,14,37,0.6068884182568837,10.326736904383361,8.351985633667251,10.839690129124827
Uttara New,BiGRU,1,36,0.9429689662510895,3.900111791549747,3.1803036025063025,9.518257771568233
Uttara New,BiGRU,2,37,0.7964196000567306,7.72221151383874,5.86354441063428,15.584370266167477
Uttara New,BiGRU,3,38,0.762217821820693,7.280057921976307,4.811603841311047,12.706295950185833
Uttara New,BiGRU,4,37,0.6933782256496956,8.271360429520394,5.535398528712825,13.534184967877255
Uttara New,BiGRU,5,38,0.7036098775224644,8.206025261755663,5.625847287774081,14.42023991579452
Uttara New,BiGRU,6,38,0.5979116997159442,10.765194940376505,7.61216810771509,18.24496261928863
Uttara New,BiGRU,7,37,0.39805910125808697,12.391489479653497,8.72369007181074,23.563114564214345
Uttara New,BiGRU,8,37,0.516736329896982,11.360177781375484,8.76895030007974,23.930173073222065
Uttara New,BiGRU,9,38,0.46180213787514324,11.928973520697173,9.627232705209588,31.9831653875611
Uttara New,BiGRU,10,38,0.41104062575950717,12.14714308432093,9.488634477330262,36.6808521770993
Uttara New,BiGRU,11,37,0.5892034664342423,10.884624044523807,8.345266953505366,27.75056338974386
Uttara New,BiGRU,12,38,0.6075621432630662,10.406209893630662,8.503201187374552,27.57039179778607
Uttara New,BiGRU,13,37,0.4968646673167645,11.408619112981459,9.30622772431453,30.29643323007594
Uttara New,BiGRU,14,37,0.5823911515098742,10.529502412328291,8.417699265121604,27.74577182684796
