src_label,src,type,dst_label,dst,rank
Substation,Dhanmondi,HAS_TOU_WINDOW,TouWindow,TOU-Dhanmondi,
Substation,Kalyanpur,HAS_TOU_WINDOW,TouWindow,TOU-Kalyanpur,
Substation,Dhanmondi,CONNECTS,TieLine,TL-Dhanmondi-Kalyanpur,
TieLine,TL-Dhanmondi-Kalyanpur,CONNECTS,Substation,Kalyanpur,
Substation,Kalyanpur,CONNECTS,TieLine,TL-Kalyanpur-Dhanmondi,
TieLine,TL-Kalyanpur-Dhanmondi,CONNECTS,Substation,Dhanmondi,
Archetype,Res-A,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-B,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-C,SUBJECT_TO,TariffClass,LT-A,
Archetype,Commercial,SUBJECT_TO,TariffClass,LT-E,
Archetype,Industrial,SUBJECT_TO,TariffClass,LT-C1,
Archetype,Hospital,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Educational,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Government,SUBJECT_TO,TariffClass,LT-E,
DrAction,DR-KLNC0061-2026-07-02-14-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-14,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-17-Y,
DrAction,DR-KLNC0061-2026-07-02-17-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S17,
DrAction,DR-KLNC0061-2026-07-02-17-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-17,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-30-Y,
DrAction,DR-KLNC0061-2026-07-02-30-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S30,
DrAction,DR-KLNC0061-2026-07-02-30-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-30,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-34-Y,
DrAction,DR-KLNC0061-2026-07-02-34-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S34,
DrAction,DR-KLNC0061-2026-07-02-34-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-34,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-35-Y,
DrAction,DR-KLNC0061-2026-07-02-35-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S35,
DrAction,DR-KLNC0061-2026-07-02-35-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-35,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-38-Y,
DrAction,DR-KLNC0061-2026-07-02-38-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S38,
DrAction,DR-KLNC0061-2026-07-02-38-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-38,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-39-Y,
DrAction,DR-KLNC0061-2026-07-02-39-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S39,
DrAction,DR-KLNC0061-2026-07-02-39-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-39,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-40-Y,
DrAction,DR-KLNC0061-2026-07-02-40-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S40,
DrAction,DR-KLNC0061-2026-07-02-40-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-40,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-41-Y,
DrAction,DR-KLNC0061-2026-07-02-41-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S41,
DrAction,DR-KLNC0061-2026-07-02-41-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-41,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-43-Y,
DrAction,DR-KLNC0061-2026-07-02-43-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S43,
DrAction,DR-KLNC0061-2026-07-02-43-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-43,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-44-Y,
DrAction,DR-KLNC0061-2026-07-02-44-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S44,
DrAction,DR-KLNC0061-2026-07-02-44-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-44,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-46-Y,
DrAction,DR-KLNC0061-2026-07-02-46-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S46,
